iter	Passed	Remaining
297	549	1293
298	550	1290
299	551	1287
300	553	1284
301	555	1284
302	557	1281
303	558	1278
304	559	1274
305	560	1271
306	561	1267
307	562	1264
308	563	1261
309	565	1257
310	566	1254
311	567	1251
312	569	1249
313	571	1248
314	572	1245
315	573	1242
316	575	1238
317	576	1235
318	577	1232
319	578	1229
320	579	1226
321	581	1223
322	582	1220
323	583	1217
324	585	1215
325	587	1213
326	588	1211
327	589	1208
328	591	1206
329	592	1203
330	594	1201
331	595	1199
332	597	1196
333	598	1193
334	599	1190
335	600	1187
336	602	1184
337	603	1181
338	604	1178
339	605	1175
340	606	1172
341	608	1170
342	610	1169
343	611	1166
344	612	1163
345	613	1160
346	615	1158
347	616	1155
348	617	1152
349	618	1149
350	620	1146
351	621	1143
352	622	1141
353	623	1138
354	625	1135
355	626	1132
356	627	1130
357	628	1127
358	629	1124
359	630	1121
360	631	1118
361	633	1115
362	634	1112
363	635	1110
364	636	1107
365	638	1106
366	640	1104
367	641	1102
368	643	1099
369	644	1096
370	645	1093
371	646	1090
372	647	1087
373	648	1084
374	649	1082
375	650	1080
376	652	1077
377	654	1076
378	655	1074
379	656	1071
380	658	1069
381	659	1066
382	660	1063
383	661	1061
384	662	1058
385	663	1055
386	664	1053
387	676	1067
388	678	1065
389	680	1064
390	682	1062
391	684	1061
392	685	1058
393	687	1056
394	689	1055
395	691	1054
396	694	1054
397	697	1055
398	699	1053
399	703	1054
400	704	1052
401	706	1050
402	707	1048
403	709	1046
404	713	1048
405	715	1046
406	717	1044
407	718	1042
408	720	1040
409	721	1038
410	723	1036
411	728	1039
412	730	1037
413	731	1035
414	733	1033
415	734	1031
416	735	1028
417	739	1029
418	741	1028
419	743	1027
420	745	1024
421	746	1022
422	747	1020
423	749	1017
424	750	1015
425	752	1013
426	753	1011
427	755	1010
428	757	1007
429	758	1005
430	759	1002
431	760	1000
432	762	997
433	763	995
434	764	992
435	765	990
436	767	988
437	769	987
438	771	986
439	773	984
440	775	983
441	777	981
442	778	978
443	779	976
444	780	973
445	782	971
446	790	978
447	792	976
448	793	974
449	795	971
450	796	969
451	798	968
452	800	966
453	801	963
454	802	961
455	803	958
456	804	956
457	806	954
458	807	951
459	808	949
460	809	946
461	810	944
462	812	941
463	813	939
464	815	938
465	817	936
466	818	934
467	819	931
468	820	929
469	822	926
470	823	924
471	824	922
472	825	919
473	826	917
474	827	915
475	829	913
476	831	912
477	833	909
478	834	907
479	836	905
480	837	903
481	838	901
482	839	898
483	840	896
484	842	894
485	844	893
486	846	891
487	847	889
488	849	887
489	850	885
490	851	882
491	852	880
492	853	877
493	855	875
494	856	873
495	858	871
496	859	869
497	861	868
498	862	865
499	863	863
500	864	861
501	865	858
502	866	856
503	868	854
504	869	852
505	870	849
506	872	847
507	873	846
508	875	844
509	876	842
510	877	840
511	878	837
512	880	835
513	881	833
514	882	831
515	884	829
516	885	826
517	886	824
518	887	822
519	890	821
520	891	819
521	892	817
522	894	815
523	895	813
524	896	811
525	897	808
526	898	806
527	900	804
528	902	803
529	904	801
530	905	799
531	906	797
532	907	795
533	908	793
534	909	790
535	910	788
536	911	786
537	912	783
538	913	781
539	915	779
540	916	777
541	917	775
542	918	773
543	919	771
544	921	768
545	921	766
546	922	764
547	923	762
548	924	759
549	925	757
550	926	755
551	927	752
552	928	750
553	929	748
554	930	746
555	931	744
556	932	741
557	934	740
558	935	737
559	936	735
560	936	733
561	937	731
562	938	728
563	939	726
564	940	724
565	941	722
566	942	720
567	943	717
568	945	715
569	946	714
570	947	712
571	948	710
572	949	707
573	950	705
574	952	703
575	953	701
576	954	699
577	955	697
578	956	695
579	957	693
580	958	691
581	959	689
582	961	687
583	962	685
584	963	683
585	964	681
586	965	679
587	967	677
588	968	675
589	969	673
590	970	671
591	971	669
592	973	668
593	974	666
594	976	664
595	977	662
596	978	660
597	979	658
598	980	656
599	982	654
600	983	652
601	984	651
602	986	649
603	989	648
604	991	647
605	992	645
606	993	643
607	994	641
608	995	639
609	997	637
610	998	635
611	999	633
612	1001	632
613	1003	630
614	1005	629
615	1006	627
616	1007	625
617	1008	623
618	1010	621
619	1011	619
620	1012	617
621	1013	615
622	1014	614
623	1015	612
624	1018	610
625	1019	609
626	1020	607
627	1022	605
628	1023	603
629	1024	601
630	1025	599
631	1026	597
632	1027	595
633	1028	593
634	1030	592
635	1032	590
636	1034	589
637	1036	588
638	1037	586
639	1038	584
640	1040	582
641	1041	580
642	1043	579
643	1044	577
644	1048	576
645	1050	575
646	1051	573
647	1053	572
648	1054	570
649	1055	568
650	1057	566
651	1059	565
652	1060	563
653	1062	562
654	1064	560
655	1066	559
656	1067	557
657	1069	555
658	1070	553
659	1071	551
660	1073	550
661	1075	549
662	1092	555
663	1094	553
664	1096	552
665	1097	550
666	1098	548
667	1099	546
668	1101	544
669	1102	542
670	1103	541
671	1105	539
672	1107	537
673	1108	536
674	1110	534
675	1111	532
676	1113	531
677	1114	529
678	1115	527
679	1116	525
680	1117	523
681	1119	522
682	1121	520
683	1124	519
684	1125	517
685	1127	515
686	1128	514
687	1129	512
688	1130	510
689	1131	508
690	1132	506
691	1134	504
692	1135	503
693	1137	501
694	1139	499
695	1140	498
696	1141	496
697	1142	494
698	1143	492
699	1144	490
700	1146	488
701	1147	487
702	1150	486
703	1152	484
704	1155	483
705	1158	482
706	1160	480
707	1162	479
708	1166	478
709	1169	477
710	1171	476
711	1172	474
712	1173	472
713	1175	470
714	1176	468
715	1177	466
716	1179	465
717	1180	463
718	1183	462
719	1185	461
720	1187	459
721	1190	458
722	1195	458
723	1198	456
724	1200	455
725	1201	453
726	1204	452
727	1207	451
728	1208	449
729	1211	447
730	1212	446
731	1213	444
732	1215	442
733	1216	440
734	1217	438
735	1218	437
736	1219	435
737	1220	433
738	1222	431
739	1224	430
740	1225	428
741	1227	426
742	1228	424
743	1229	423
744	1231	421
745	1232	419
746	1233	417
747	1234	415
748	1235	414
749	1237	412
750	1238	410
751	1240	409
752	1242	407
753	1244	405
754	1245	404
755	1246	402
756	1247	400
757	1248	398
758	1249	396
759	1252	395
760	1254	393
761	1256	392
762	1257	390
763	1259	389
764	1260	387
765	1262	385
766	1263	383
767	1265	382
768	1269	381
769	1271	379
770	1274	378
771	1275	376
772	1277	375
773	1278	373
774	1279	371
775	1281	369
776	1283	368
777	1285	366
778	1286	365
779	1288	363
780	1290	361
781	1291	360
782	1292	358
783	1294	356
784	1296	355
785	1298	353
786	1300	351
787	1302	350
788	1304	348
789	1306	347
790	1307	345
791	1313	344
792	1314	343
793	1316	341
794	1319	340
795	1321	338
796	1322	336
797	1323	335
798	1324	333
799	1326	331
800	1328	330
801	1330	328
802	1331	326
803	1332	324
804	1333	323
805	1334	321
806	1336	319
807	1338	317
808	1340	316
809	1342	314
810	1343	313
811	1345	311
812	1346	309
813	1347	307
814	1349	306
815	1350	304
816	1352	302
817	1353	301
818	1356	299
819	1357	298
820	1358	296
821	1360	294
822	1361	292
823	1362	291
824	1363	289
825	1365	287
826	1366	285
827	1367	284
828	1370	282
829	1371	280
830	1372	279
831	1373	277
832	1374	275
833	1375	273
834	1376	272
835	1378	270
836	1379	268
837	1380	266
838	1381	265
839	1382	263
840	1384	261
841	1386	260
842	1387	258
843	1388	256
844	1390	254
845	1391	253
846	1392	251
847	1393	249
848	1394	248
849	1395	246
850	1396	244
851	1397	242
852	1399	241
853	1400	239
854	1401	237
855	1402	235
856	1402	234
857	1403	232
858	1404	230
859	1405	228
860	1406	227
861	1407	225
862	1408	223
863	1409	221
864	1410	220
865	1411	218
866	1413	216
867	1414	215
868	1415	213
869	1416	211
870	1417	209
871	1418	208
872	1419	206
873	1420	204
874	1421	203
875	1422	201
876	1423	199
877	1424	197
878	1425	196
879	1426	194
880	1428	192
881	1429	191
882	1430	189
883	1431	187
884	1432	186
885	1434	184
886	1435	182
887	1436	181
888	1438	179
889	1439	177
890	1440	176
891	1442	174
892	1443	173
893	1444	171
894	1445	169
895	1446	167
896	1447	166
897	1448	164
898	1450	162
899	1451	161
900	1452	159
901	1454	157
902	1455	156
903	1456	154
904	1457	153
905	1458	151
906	1459	149
907	1461	148
908	1462	146
909	1463	144
910	1465	143
911	1466	141
912	1468	139
913	1470	138
914	1471	136
915	1472	135
916	1473	133
917	1475	131
918	1476	130
919	1477	128
920	1478	126
921	1479	125
922	1481	123
923	1482	121
924	1484	120
925	1485	118
926	1486	117
927	1487	115
928	1488	113
929	1489	112
930	1490	110
931	1491	108
932	1493	107
933	1494	105
934	1496	104
935	1498	102
936	1500	100
937	1501	99
938	1502	97
939	1503	95
940	1504	94
941	1506	92
942	1507	91
943	1508	89
944	1510	87
945	1511	86
946	1512	84
947	1514	83
948	1515	81
949	1517	79
950	1518	78
951	1519	76
952	1520	75
953	1521	73
954	1523	71
955	1524	70
956	1527	68
957	1529	67
958	1530	65
959	1531	63
960	1532	62
961	1533	60
962	1534	58
963	1535	57
964	1536	55
965	1538	54
966	1539	52
967	1542	50
968	1543	49
969	1545	47
970	1546	46
971	1548	44
972	1549	43
973	1551	41
974	1552	39
975	1553	38
976	1554	36
977	1555	35
978	1557	33
979	1559	31
980	1560	30
981	1561	28
982	1562	27
983	1563	25
984	1565	23
985	1566	22
986	1567	20
987	1568	19
988	1569	17
989	1571	15
990	1572	14
991	1573	12
992	1574	11
993	1575	9
994	1576	7
995	1578	6
996	1579	4
997	1580	3
998	1581	1
999	1583	0
